Company,Time,Financial Distress,x1
1,1,0.010636,1.281
1,2,-0.45597,1.27
1,3,-0.32539,1.0529
1,4,-0.56657,1.1131
2,1,1.3573,1.0623
2,2,0.0071875,1.0558
2,3,1.2002,0.97059
2,4,2.2348,1.059
2,5,1.3405,1.1245
2,6,2.0474,1.5998
2,7,2.3459,1.5756
2,8,2.2499,1.5443
2,9,2.2826,1.7217
2,10,1.7982,1.7232
2,11,2.8277,1.6307
2,12,2.9413,2.1723
2,13,2.6598,2.0924
2,14,2.232,2.2263
3,1,-1.6599,0.8744
4,1,0.02275,0.83537
4,2,0.003775,0.93286
4,3,0.00018333,0.93575
4,4,0.22253,0.92927
4,5,0.44662,1.086
4,6,1.2394,1.19
4,7,1.7741,1.8267
4,8,0.72655,1.7263
4,9,0.8559,1.5447
4,10,1.4163,2.1297
4,11,1.8118,1.5107
4,12,0.86188,1.9022
4,13,1.0964,2.0867
4,14,1.277,3.1096
5,1,0.07455,1.2101
5,2,0.0038233,1.1486
5,3,0.19598,1.1069
5,4,0.95538,1.0243
5,5,1.6764,1.1074
5,6,2.5348,1.0481
5,7,4.7068,1.0657
5,8,6.4706,1.2029
5,9,5.205,1.1537
5,10,0.59028,1.2163
5,11,0.84951,1.0337
5,12,1.1379,1.103
5,13,1.5366,1.1522
5,14,1.6378,1.2121
6,1,0.55179,0.75482
6,2,0.90317,0.70755
6,3,0.95766,0.73538
6,4,0.30548,0.58868
6,5,0.52779,0.69931
6,6,-0.19589,0.68136
6,7,0.18757,0.60064
6,8,0.62713,0.67274
6,9,0.35803,0.72911
6,10,-0.30963,0.75708
6,11,-0.43217,0.77645
6,12,0.16032,0.84698
6,13,0.11538,0.90882
6,14,0.24963,1.0103
7,1,0.89043,1.0301
7,2,0.15661,1.1109
7,3,0.25277,1.0193
7,4,0.86431,0.99425
7,5,0.90904,0.96542
7,6,0.52871,0.97977
7,7,0.19253,0.96214
7,8,-0.43095,1.0577
7,9,0.2864,0.74591
7,10,-0.44409,0.81745
7,11,-1.2654,0.94406
8,1,0.3983,1.1663
8,2,0.7289,1.2068
8,3,1.5478,1.0773
8,4,3.0613,1.2414
8,5,3.7684,1.452
8,6,0.80947,1.345
8,7,0.83493,1.4406
8,8,0.64581,1.3814
8,9,0.45568,1.3033
8,10,0.30504,1.2959
8,11,1.4772,1.2233
8,12,1.1814,1.6521
8,13,0.83918,1.65
8,14,0.57721,1.4771
9,1,0.043433,1.3007
9,2,0.08875,1.1275
9,3,0.083333,0.92169
9,4,0.25078,0.937
9,5,0.022139,0.99914
9,6,-0.38026,0.986
9,7,0.076062,0.75964
9,8,0.2462,1.083
9,9,0.065554,1.265
9,10,0.30025,1.1522
9,11,2.0248,1.6944
9,12,0.7832,3.6874
9,13,0.55925,1.1459
9,14,0.28419,1.4892
10,1,0.00096429,1.4809
10,2,5.95E-05,1.3854
10,3,7.03E-05,1.267
10,4,0.000205,1.2675
10,5,0.00017083,1.3881
10,6,0.00025,1.4323
10,7,0.00010833,1.3399
10,8,0.4468,1.3167
10,9,0.45461,1.3457
10,10,0.45194,1.3107
10,11,1.0173,1.3833
10,12,1.1553,1.5795
10,13,0.31012,1.5012
10,14,0.21687,1.3833
11,1,0.45363,0.6888
11,2,0.6318,0.6908
11,3,-0.31275,0.74702
11,4,-0.31752,0.50287
11,5,-0.11315,0.52596
11,6,0.1852,0.41398
11,7,0.015037,0.6304
11,8,-0.31003,0.57318
11,9,-0.80159,0.5494
12,1,-0.66786,1.1953
13,1,-0.081598,2.0761
13,2,-0.89383,1.7828
14,1,0.428,1.049
14,2,0.39178,1.1301
14,3,0.94842,1.2284
14,4,3.0453,1.2547
14,5,2.6529,1.5052
14,6,2.1266,1.371
14,7,1.1394,1.4417
14,8,-0.66968,1.2327
15,1,-0.12797,2.4466
15,2,0.28768,1.2293
15,3,-0.15722,1.9348
15,4,1.1668,1.1784
15,5,2.5593,0.69336
15,6,-2.7031,0.98949
16,1,0.1059,1.8087
16,2,0.48028,1.0385
16,3,0.088538,0.70624
16,4,0.032712,0.62093
16,5,-3.6574,0.64375
17,1,1.3699,1.5896
17,2,0.87835,1.5389
17,3,1.0735,1.5327
17,4,1.2237,1.416
17,5,0.64233,1.4175
17,6,0.58162,1.3188
17,7,-0.44527,1.2287
17,8,-0.49922,1.0208
17,9,-1.9971,1.1692
18,1,0,0.79935
18,2,0.15233,0.82753
18,3,0.080083,0.91084
18,4,0.20992,0.83131
18,5,-0.36717,0.87802
18,6,-1.3992,0.88193
19,1,0,0.84654
19,2,-0.1888,0.86145
19,3,-1.7971,0.87458
20,1,0,0.76133
20,2,0,0.74928
20,3,0.56709,0.84641
20,4,2.1102,0.7081
20,5,2.6515,0.86015
20,6,4.7584,0.77703
20,7,2.3687,0.88582
20,8,2.026,0.86629
20,9,0.81071,0.76274
20,10,0.49167,0.63087
20,11,1.2893,0.64095
20,12,0.58565,0.69497
20,13,0.069254,0.59736
20,14,0.14923,0.58538
21,1,0.1018,0.71166
21,2,0.26108,0.77644
21,3,0.14711,0.77126
21,4,0.35312,0.8225
21,5,0.64332,0.98529
21,6,0.98969,1.0128
21,7,0.61021,1.1318
21,8,0.7064,1.2615
21,9,0.87841,1.1854
21,10,1.4077,1.2359
21,11,0.69728,1.1728
21,12,0.65477,0.95978
21,13,0.49395,1.2068
21,14,0.58086,1.0673
22,1,0.282,1.1363
22,2,0.0243,1.0247
22,3,0.0007,0.98818
22,4,-0.3731,0.97701
22,5,0.0953,0.90124
22,6,0.4443,0.82686
22,7,0.5812,0.74374
22,8,0.37405,0.82267
22,9,-0.38907,0.8825
22,10,-0.17518,0.83946
22,11,0.0186,1.0016
22,12,0.29728,1.0126
22,13,0.23829,1.7788
22,14,0.32375,1.8208
23,1,0.32819,1.2357
23,2,0.38229,1.2443
23,3,0.40095,1.2319
23,4,0.46943,1.167
23,5,0.40133,1.1675
23,6,0.73743,1.1967
23,7,1.2493,1.3494
23,8,0.25833,1.2231
23,9,0.97935,1.0965
23,10,2.5917,1.0661
23,11,3.2155,0.95969
23,12,1.7159,0.89618
23,13,-0.48203,0.78705
23,14,-3.9594,0.85349
24,1,0.57379,1.702
24,2,0.42949,1.3661
24,3,0.55856,1.3989
24,4,0.74133,1.2305
24,5,1.3431,1.1678
24,6,1.2089,1.2502
24,7,1.3733,1.2378
24,8,1.5064,1.2893
24,9,0.8989,1.3093
24,10,1.2932,1.303
24,11,2.2312,1.3153
24,12,3.0217,1.4301
24,13,3.484,1.3334
24,14,4.0077,1.4439
25,1,0.21217,1.4939
25,2,0.29083,1.2082
25,3,0.68534,1.1652
25,4,0.85049,1.1754
25,5,2.5954,1.2065
25,6,2.7278,1.6303
25,7,2.8675,1.8447
25,8,3.4066,1.5948
25,9,3.6257,1.8279
25,10,4.259,1.6851
25,11,7.8073,1.6779
25,12,9.7334,1.5853
25,13,11.592,1.2757
25,14,4.3889,1.383
26,1,0.67198,1.4911
26,2,0.23112,1.5736
26,3,0.39669,1.4984
26,4,0.61106,1.5131
26,5,0.85817,1.5091
26,6,1.0224,1.4167
26,7,0.62186,1.7877
26,8,1.2229,1.5578
26,9,1.071,1.8075
26,10,0.92687,2.0325
26,11,1.2716,2.1132
26,12,1.5001,2.5999
26,13,2.2372,2.8548
26,14,2.6233,3.648
27,1,-0.11207,1.0997
27,2,-0.7038,1.1048
28,1,1.6375,0.93872
28,2,0.95763,1.007
28,3,0.50753,1.286
28,4,1.597,1.6903
28,5,1.5351,3.526
28,6,1.2807,2.1463
28,7,1.6921,1.309
28,8,1.3779,1.4306
28,9,4.9842,1.2018
28,10,8.6484,1.3615
28,11,2.8408,1.3483
28,12,3.3164,1.0629
28,13,1.443,1.1032
28,14,-0.68154,1.0252
29,1,1.3284,0.75614
29,2,0.76493,0.95327
29,3,0.89555,1.2194
29,4,1.1867,1.8674
29,5,1.1797,1.5285
29,6,1.1369,0.98111
29,7,0.51029,0.6118
29,8,1.5548,0.71491
29,9,1.3534,0.74224
29,10,2.2448,0.85109
29,11,3.0939,1.0324
29,12,2.7549,1.0849
29,13,-0.49295,0.99681
29,14,-1.1315,0.43265
30,1,0.002933,0.87972
30,2,0.72763,1.1336
30,3,1.2277,1.3783
30,4,3.4677,1.5809
30,5,3.5731,5.6214
30,6,3.7202,3.1598
30,7,4.6251,2.7205
30,8,2.8793,4.4404
30,9,6.2176,2.1042
30,10,7.835,4.0877
30,11,8.7587,2.9674
30,12,7.7496,2.6592
30,13,2.5996,2.3662
30,14,2.7537,1.6153
31,1,0.34764,0.70663
31,2,0.88395,0.55724
31,3,1.7521,0.85429
31,4,2.9552,1.1787
31,5,1.7298,1.5047
31,6,1.4905,0.93284
31,7,1.6675,0.71162
31,8,1.3957,0.80435
31,9,1.9372,0.72225
31,10,4.2213,0.81527
31,11,6.6044,1.1967
31,12,4.6238,1.5302
31,13,1.8256,1.2774
31,14,0.94039,1.6619
32,1,0.8663,0.97534
32,2,0.9609,1.0164
32,3,0.9796,0.97912
32,4,1.08,0.9753
32,5,0.74258,1.1915
32,6,-0.2849,1.2206
32,7,-0.3149,0.94798
32,8,-0.30228,0.96777
32,9,-0.22134,1.146
32,10,2.4538,1.038
32,11,7.0531,1.4104
32,12,1.1866,2.0463
32,13,-2.4586,1.2172
33,1,0.068,1.4438
33,2,0.068,1.5411
33,3,0.070143,1.2741
33,4,0.077357,1.2337
33,5,0.010774,1.3288
33,6,0.0083929,1.2665
33,7,-0.13726,1.2202
33,8,-0.14905,1.1835
33,9,1.1462,1.1423
33,10,0.73196,3.507
33,11,0.77488,1.797
33,12,0.018741,2.2937
33,13,0.029524,1.5587
33,14,-0.1568,1.3925
34,1,0.019965,0.99126
34,2,0.01958,0.51857
34,3,0.013157,0.51962
34,4,0.20767,0.67697
34,5,0.29809,1.0367
34,6,0.20898,1.5034
34,7,0.23318,1.4539
34,8,0.27581,0.89499
34,9,0.36421,1.257
34,10,0.79194,1.3161
34,11,1.274,1.251
34,12,1.3832,1.8993
34,13,1.3155,1.9159
34,14,0.70725,1.6375
35,1,0.17588,0.55094
35,2,0.11954,0.43567
35,3,0.16661,0.41864
35,4,0.34467,0.4965
35,5,0.19503,0.49696
35,6,-0.34793,0.78466
35,7,-0.47967,0.74759
35,8,0.040729,0.61059
35,9,-2.7185,1.0025
36,1,0.026703,0.99278
36,2,0.020268,1.1447
36,3,-0.046938,1.0655
36,4,-0.29,1.0725
36,5,-0.4477,0.98674
36,6,-0.33362,1.1572
36,7,-0.3383,1.0595
36,8,-0.3892,1.0551
36,9,-0.70187,1.3824
37,1,-0.071,1.6253
37,2,-0.073889,1.3654
37,3,-0.42756,1.3464
37,4,-0.34489,1.129
37,5,-0.12327,1.0039
37,6,0.066733,1.534
37,7,-0.013933,1.59
37,8,-0.1518,1.5293
37,9,-0.337,1.4422
37,10,-1.6116,2.5101
38,1,1.1123,2.3683
38,2,0.31219,3.0698
38,3,2.2606,1.1346
